	LncRNA name	Synonyms	Ensembl ID	Refseq ID	Position	Cancer name	ICD-0-3-T	ICD-0-3-M	Methods	Sample (tissue/ cell line)	Expression pattern	Functional description	PubMed ID	Year	Title
1305	TCONS_00090092_MEG3	TCONS_00090092_MEG3	N/A	N/A	chr14:101297758-101327368	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	up-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1306	TCONS_l2_00000179	TCONS_l2_00000179	N/A	N/A	chr1:27533429-27534178	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	up-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1307	TCONS_l2_00003938	TCONS_l2_00003938	N/A	N/A	N/A	triple-negative breast cancer	C50		microarray, qPCR etc.	triple-negative breast cancer tissue	up-regulated	We found that the expression levels of TCONS_l2_00003938, ENST00000460164, ENST00000425295, MALAT1 and HOTAIR were significantly higher in tumor tissues than non-tumor tissues, whereas there were no significant differences in the expression levels of the other 3 lncRNAs. Our study identified a set of lncRNAs that were consistently aberrantly expressed in TNBC, and these dysregulated lncRNAs may be involved in the development and/or progression of TNBC.	25996380	2015	Microarray Expression Profiling of Dysregulated Long Non-Coding RNAs in Triple-Negative Breast Cancer.
1308	TCONS_l2_00004424	TCONS_l2_00004424	N/A	N/A	chr11:17249828-17250737	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	up-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1309	TCONS_l2_00006843	TCONS_l2_00006843	N/A	N/A	chr13:48337599-48338514	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	down-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1310	TCONS_l2_00010365	TCONS_l2_00010365	N/A	N/A	N/A	papillary thyroid carcinoma	C73.9	M8260/3	microarray, qPCR etc.	papillary thyroid carcinoma tissue	up-regulated	We randomly chose a total of 10 differentially expressed lncRNAs for qPCR, of which TCONS_l2_00010365, n386477, n340790, lnc-LLPH-2:1 and NR_003225.2 were up-regulated and lnc-PSD4-1:14, n335550, lnc-KCMF1-2:1, lnc-PLA2R1-1:1 and ENST00000422494.1 were down-regulated in PTC. The results of qPCR were consistent with those of the microarray, in that all 10 lncRNAs were differentially expressed with the same trend (up- or down-regulated) and reached statistical significance.	26003293	2015	Genome-wide analysis of long noncoding RNA expression profile in papillary thyroid carcinoma.
1311	TCONS_l2_00014091	TCONS_l2_00014091	N/A	N/A	chr2:174162678-174163271	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	up-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1312	TCONS_l2_00018070	TCONS_l2_00018070	N/A	N/A	chr22:42545889-42546993	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	down-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1313	TCONS_l2_00018071	TCONS_l2_00018071	N/A	N/A	chr22:42546706-42548179	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	down-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1314	TCONS_l2_00020565	TCONS_l2_00020565	N/A	N/A	chr12:113847691-113851849	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	down-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1315	TCONS_l2_00021262	TCONS_l2_00021262	N/A	N/A	chr4:120314433-120316288	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	up-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1316	TCONS_l2_00030560	TCONS_l2_00030560	N/A	N/A	chrX:101032844:101035506	hepatoblastoma	C22.0	M8970/3	microarray, qPCR etc.	hepatoblastoma tissue	down-regulated	The results showed that expression of TCONS_00090092-MEG3, TCONS_l2_00000179, TCONS_l2_00014091, TCONS_l2_00004424, TCONS_l2_00021262, TCONS_00014978 and ESM1 were over-regulated, and TCONS_l2_00018070, TCONS_l2_00018071, TCONS_l2_00006843, TCONS_l2_00030560, TCONS_l2_00020565, TCONS_00024647, and TCONS_00014512 were downregulated in all four hepatoblastoma tissue samples relative to the paired distant noncancerous tissues (P<0.05).	24465615	2014	Genome-wide analysis of long noncoding RNA (lncRNA) expression in hepatoblastoma tissues.
1317	THBS4-003	THBS4-003	ENST00000511888	N/A	chr5:80082004-80083188	prostate cancer	C61.9		qPCR, Western blot, RNAi etc.	Pca tissue, cell lines (DU145 and PC-3 )	up-regulated	The expression levels of THBS4 and lncRNA-THBS4-003 in the 46 primary PCa samples was significantly higher, compared with that in the adjacent non-tumor tissue samples. Patients with Gleason scores >7 exhibited higher expression levels of lncRNA-THBS4-003, compared with patients with lower scores. Knockdown of THBS4 or lncRNA-THBS4-003 significantly reduced the migratory and invasive abilities of the PCa cells in vitro, and decreased the expression levels of p38 and matrix metal-loproteinase (MMP)-9. These findings suggested that the reciprocal regulation of lncRNA-THBS4-003 and THBS4 contributed to the pathogenesis of PCa. 	27357608	2016	Reciprocal regulation of long noncoding RNAs THBS4-003 and THBS4 control migration and invasion in prostate cancer cell lines.
1318	TI09485	TI09485	N/A	N/A	N/A	cervical cancer	C53		microarray, qPCR, Western blot, RNAi, RIP etc.	cervical cancer tissue, cell lines (HeLa, SiHa, CaSki)	down-regulated	LncRNA expression was then analyzed in CC cells and normal, primary cervical epithelial cells in the same manner. The levels of TI17313, TI13831, TI10124, and TI18318 were increased in 3 cancer cell lines (HeLa, SiHa, and CaSki) when compared with normal, primary cervical epithelial cells. Expression of the 5 other lncRNAs was below the level of detection in cultured cells.	25007342	2014	Long noncoding RNA-EBIC promotes tumor cell invasion by binding to EZH2 and repressing E-cadherin in cervical cancer.
1319	TI10124	TI10124	N/A	N/A	N/A	cervical cancer	C53		microarray, qPCR, Western blot, RNAi, RIP etc.	cervical cancer tissue, cell lines (HeLa, SiHa, CaSki)	up-regulated	LncRNA expression was then analyzed in CC cells and normal, primary cervical epithelial cells in the same manner. The levels of TI17313, TI13831, TI10124, and TI18318 were increased in 3 cancer cell lines (HeLa, SiHa, and CaSki) when compared with normal, primary cervical epithelial cells. Expression of the 5 other lncRNAs was below the level of detection in cultured cells.	25007342	2014	Long noncoding RNA-EBIC promotes tumor cell invasion by binding to EZH2 and repressing E-cadherin in cervical cancer.
1320	TI13831	TI13831	N/A	N/A	N/A	cervical cancer	C53		microarray, qPCR, Western blot, RNAi, RIP etc.	cervical cancer tissue, cell lines (HeLa, SiHa, CaSki)	up-regulated	LncRNA expression was then analyzed in CC cells and normal, primary cervical epithelial cells in the same manner. The levels of TI17313, TI13831, TI10124, and TI18318 were increased in 3 cancer cell lines (HeLa, SiHa, and CaSki) when compared with normal, primary cervical epithelial cells. Expression of the 5 other lncRNAs was below the level of detection in cultured cells.	25007342	2014	Long noncoding RNA-EBIC promotes tumor cell invasion by binding to EZH2 and repressing E-cadherin in cervical cancer.
1321	TI18318	TI18318	N/A	N/A	N/A	cervical cancer	C53		microarray, qPCR, Western blot, RNAi, RIP etc.	cervical cancer tissue, cell lines (HeLa, SiHa, CaSki)	up-regulated	LncRNA expression was then analyzed in CC cells and normal, primary cervical epithelial cells in the same manner. The levels of TI17313, TI13831, TI10124, and TI18318 were increased in 3 cancer cell lines (HeLa, SiHa, and CaSki) when compared with normal, primary cervical epithelial cells. Expression of the 5 other lncRNAs was below the level of detection in cultured cells.	25007342	2014	Long noncoding RNA-EBIC promotes tumor cell invasion by binding to EZH2 and repressing E-cadherin in cervical cancer.
1322	TI21327	TI21327	N/A	N/A	N/A	cervical cancer	C53		microarray, qPCR, Western blot, RNAi, RIP etc.	cervical cancer tissue, cell lines (HeLa, SiHa, CaSki)	down-regulated	LncRNA expression was then analyzed in CC cells and normal, primary cervical epithelial cells in the same manner. The levels of TI17313, TI13831, TI10124, and TI18318 were increased in 3 cancer cell lines (HeLa, SiHa, and CaSki) when compared with normal, primary cervical epithelial cells. Expression of the 5 other lncRNAs was below the level of detection in cultured cells.	25007342	2014	Long noncoding RNA-EBIC promotes tumor cell invasion by binding to EZH2 and repressing E-cadherin in cervical cancer.
1323	TI22687	TI22687	N/A	N/A	N/A	cervical cancer	C53		microarray, qPCR, Western blot, RNAi, RIP etc.	cervical cancer tissue, cell lines (HeLa, SiHa, CaSki)	down-regulated	LncRNA expression was then analyzed in CC cells and normal, primary cervical epithelial cells in the same manner. The levels of TI17313, TI13831, TI10124, and TI18318 were increased in 3 cancer cell lines (HeLa, SiHa, and CaSki) when compared with normal, primary cervical epithelial cells. Expression of the 5 other lncRNAs was below the level of detection in cultured cells.	25007342	2014	Long noncoding RNA-EBIC promotes tumor cell invasion by binding to EZH2 and repressing E-cadherin in cervical cancer.
1324	TINCR	TINCR; PLAC2; LINC00036; NCRNA00036	ENSG00000223573	NR_027064	chr19:5558167-5568034	gastric cancer	C16		RNA-seq, qPCR, Western blot, RNAi etc.	gastric cancer tissue, cell lines (MGC803, BGC823, MKN45, SGC7901 etc.)	up-regulated	We report that TINCR is strongly upregulated in human gastric carcinoma (GC), where it was found to contribute to oncogenesis and cancer progression. Silencing TINCR expression inhibited cell proliferation, colony formation, tumorigenicity and apoptosis promotion, whereas TINCR overexpression promoted cell growth, as documented in the SGC7901 and BGC823 cell lines. TINCR contributes to the oncogenic potential of GC and may constitute a potential therapeutic target in this disease.	25728677	2015	SP1-induced upregulation of the long noncoding RNA TINCR regulates cell proliferation and apoptosis by affecting KLF2 mRNA stability in gastric cancer.
1325	TNXA	TNXA; XA; TNX; HXBL; D6S103E	ENSG00000248290	NR_001284	chr6:32008614-32012472	bladder cancer	C67		microarray, qPCR, RNAi etc.	bladder cancer tissue	down-regulated	Four lncRNAs were selected for further confirmation of microarray results using qPCR. These lncRNAs were among the most downregulated or upregulated lncRNAs. Data analysis showed that KRT19P3 was upregulated and TNXA, CTA-134P22.2 and CTC-276P9.1 were downregulated in bladder cancer samples compared with matched normal tissues.these deregulated lncRNAs play a key or partial role in the development and/or progression of bladder cancer.	24944692	2014	Long noncoding RNA expression signatures of bladder cancer revealed by microarray.
